區域,節點1,節點2,節點3,節點4,節點5,節點6,節點7,節點8,節點9,節點10,節點11,節點12,節點13,節點14,節點15,節點16,節點17,節點18,節點19,節點20,節點21,節點22,節點23,節點24,節點25,節點26,節點27,節點28,節點29,節點30,節點31,節點32,節點33,節點34,節點35,節點36,節點37
0,0,71,21,16,26,35,59,60,1,15,57,78,72,2,30,49,36,67,55,77,61,20,0,,,,,,,,,,,,,,
1,0,61,29,38,72,21,56,64,18,28,80,35,42,62,51,69,22,33,78,9,39,44,63,58,11,60,3,25,30,0,,,,,,,
2,0,10,17,5,45,39,54,74,44,53,80,14,4,83,47,81,42,6,34,23,84,12,40,32,13,56,52,75,68,41,22,9,19,66,50,65,0
3,0,47,73,75,24,54,27,31,46,12,19,37,43,23,76,53,48,7,40,32,8,82,5,52,13,70,79,65,68,0,,,,,,,
